timestamp,bitcoin,ethereum,solana,avalanche-2
2025-11-26 00:00:00,87310.33159950442,2955.046469321271,139.0062092062614,14.175014431391661
2025-11-27 00:00:00,90474.22677969698,3027.477249132549,142.92252259467037,14.914913643032879
2025-11-28 00:00:00,91279.06057176423,3015.6118196920934,140.8298940142595,15.025131479675002
2025-11-29 00:00:00,90950.37695910994,3033.135645414151,137.46833804153275,14.856266893913542
2025-11-30 00:00:00,90841.45258193677,2991.2330117032593,136.08875145366935,14.247682480995412
2025-12-01 00:00:00,90406.28448571145,2992.8341859495977,134.57716421907872,13.823399975971387
2025-12-02 00:00:00,86281.49519776918,2799.0367919901605,126.74719818442522,12.799065882099853
2025-12-03 00:00:00,91344.73275150165,2995.751149322771,138.68381774415911,13.650416260433843
2025-12-04 00:00:00,93619.43750817103,3195.4089919085554,145.03241215787318,14.829307941182316
2025-12-05 00:00:00,92140.70419795791,3133.698235618616,139.0035856702843,14.399151863434595
2025-12-06 00:00:00,89307.09154512963,3022.6564205232035,133.19940782316152,13.233543543732942
2025-12-07 00:00:00,89244.7620814118,3039.358573133242,132.21332316930986,13.39420419017753
2025-12-08 00:00:00,90162.90714007126,3052.976330436545,131.63667798299971,13.412529809151279
2025-12-09 00:00:00,90618.0535204608,3125.321462183988,133.2876975493966,13.636958827952153
2025-12-10 00:00:00,92723.21372069631,3322.469217836626,138.01268988378362,14.602338786082205
2025-12-11 00:00:00,92005.13714957413,3326.260211637518,136.51252974936924,14.145426426860732
2025-12-12 00:00:00,92494.17691640415,3236.0986208578574,136.44042727909604,13.427181630111447
2025-12-13 00:00:00,90307.26028567803,3085.316694358101,132.4674041542392,13.11387884380905
2025-12-14 00:00:00,90257.4292885891,3115.225428835284,133.22106900469535,13.38402501347547
2025-12-15 00:00:00,88230.77409367911,3065.4912355563642,129.57660231376835,12.893544558005642
2025-12-16 00:00:00,86413.9190195637,2964.488557692104,127.70162570713056,12.345313718252386
2025-12-17 00:00:00,87821.88919109134,2964.2627915054686,128.8095625908113,12.333717909837857
2025-12-18 00:00:00,86064.94716216,2827.8041755024283,123.08121963590442,11.839626067012002
2025-12-19 00:00:00,85450.3312009302,2826.5948465107654,119.47102833526988,11.434805009647723
2025-12-20 00:00:00,88103.86075721023,2976.796869557769,126.1879023223493,12.248787154441304
2025-12-21 00:00:00,88347.94310567998,2977.162263207443,125.78919713672443,12.20700225113694
2025-12-22 00:00:00,88577.42038358838,3001.6008377810244,126.01866473018241,12.145386957955049
2025-12-23 00:00:00,88491.12020788102,3005.786780691547,125.76066206540068,12.397063114498973
2025-12-24 00:00:00,87406.43636737975,2965.193660040505,123.9193038826096,12.182981530684277
2025-12-25 00:00:00,87642.60888119951,2945.9878145019857,122.56774375278773,12.107889963659295
2025-12-25 11:09:50,87642.60888119951,2945.9878145019857,121.57938198502562,12.107889963659295
2025-12-25 11:10:00,87439.51952188867,2922.0395575898065,121.57938198502562,12.107889963659295
2025-12-25 11:10:20,87439.51952188867,2922.0395575898065,121.57938198502562,12.151585336150546
